teamCode,teamName,squadNumber,position,commonName,originalName,dateOfBirthIso,club,zhName,sourceId,sourceLabel,sourceDescription,searchQuery,confidence,reviewReason
KSA,Saudi Arabia,21,GK,Mohammed Alowais,Mohammed Khalil I ALOWAIS,1991-10-10,Al Ula Saudi FC (KSA),,,,,,none,no-wikidata-match
KSA,Saudi Arabia,22,GK,Ahmed Alkassar,Ahmed Ali H ALKASSAR,1991-05-08,Al Qadsiah FC (KSA),,,,,,none,no-wikidata-match
KSA,Saudi Arabia,24,DF,Moteb Alharbi,Moteb Saad S ALHARBI,2000-02-20,Al Hilal SC (KSA),,,,,,none,no-wikidata-match
KSA,Saudi Arabia,25,DF,Jehad Thikri,Jehad Abdullatif A THIKRI,2001-07-21,Al Qadsiah FC (KSA),,,,,,none,no-wikidata-match
KSA,Saudi Arabia,26,DF,Mohammed Abu Alshamat,Mohammed Waheeb S ABU ALSHAMAT,2002-08-11,Al Qadsiah FC (KSA),,,,,,none,no-wikidata-match
SCO,Scotland,4,MF,Scott Mctominay,Scott Francis MCTOMINAY,1996-12-08,SSC Napoli (ITA),,,,,,none,no-wikidata-match
SCO,Scotland,7,MF,John Mcginn,John MCGINN,1994-10-18,Aston Villa FC (ENG),,,,,,none,no-wikidata-match
SCO,Scotland,10,FW,Che Adams,Che Sac Everton Fred ADAMS,1996-07-13,Torino FC (ITA),,,,,,none,no-wikidata-match
SCO,Scotland,17,FW,Ben Doak,Ben Gannon DOAK,2005-11-11,AFC Bournemouth (ENG),,,,,,none,no-wikidata-match
SCO,Scotland,23,MF,Kenneth Mclean,Kenneth MCLEAN,1992-01-08,Norwich City FC (ENG),,,,,,none,no-wikidata-match
SCO,Scotland,25,FW,Findlay Curtis,Findlay Kenneth CURTIS,2006-06-09,Kilmarnock FC (SCO),,Q131863254,Findlay Curtis,Scottish footballer (born 2006),Findlay Curtis,none,wikidata-match-without-zh-label
SCO,Scotland,26,DF,Scott Mckenna,Scott Fraser MCKENNA,1996-11-12,GNK Dinamo Zagreb (CRO),,,,,,none,no-wikidata-match
SEN,Senegal,4,DF,Abdoulaye Seck,Abdoulaye SECK,1992-06-04,Maccabi Haifa FC (ISR),,Q17494543,Abdoulaye Seck,Senegalese footballer (born 1992),Abdoulaye Seck,none,wikidata-match-without-zh-label
SEN,Senegal,6,MF,Ismaila Ciss,Ismaila Pathe CISS,1994-03-16,Rayo Vallecano (ESP),,,,,,none,no-wikidata-match
SEN,Senegal,8,MF,Lamine Camara,Lamine CAMARA,2004-01-01,AS Monaco (FRA),,Q116896436,Lamine Camara,Senegalese footballer (born 2004),Lamine Camara,none,wikidata-match-without-zh-label
SEN,Senegal,9,FW,Cheikh Dieng,Cheikh Ahmadou Bamba Mbacke DIENG,2000-03-23,FC Lorient (FRA),,,,,,none,no-wikidata-match
SEN,Senegal,10,FW,Sadio Mane,Sadio MANE,1992-04-10,Al Nassr FC (KSA),,,,,,none,no-wikidata-match
SEN,Senegal,16,GK,Edouard Mendy,Edouard Osoque MENDY,1992-03-01,Al Ahli FC (KSA),,,,,,none,no-wikidata-match
SEN,Senegal,17,MF,Pape Sarr,Pape Matar SARR,2002-09-14,Tottenham Hotspur FC (ENG),,,,,,none,no-wikidata-match
SEN,Senegal,18,FW,Ismaila Sarr,Ismaila SARR,1998-02-25,Crystal Palace FC (ENG),,,,,,none,no-wikidata-match
SEN,Senegal,19,DF,Moussa Niakhate,Moussa NIAKHATE,1996-03-08,Olympique Lyonnais (FRA),,,,,,none,no-wikidata-match
SEN,Senegal,22,MF,Bara Ndiaye,Bara Sapoko NDIAYE,2007-12-31,FC Bayern München (GER),,,,,,none,no-wikidata-match
SEN,Senegal,25,DF,El Diouf,El Hadji Malick DIOUF,2004-12-29,West Ham United FC (ENG),,,,,,none,no-wikidata-match
RSA,South Africa,2,DF,Tholo Matuludi,Tholo Thabang MATULUDI,1999-01-14,Polokwane City FC (RSA),,Q127324870,Thabang Matuludi,South African soccer player,Thabang Matuludi,none,wikidata-match-without-zh-label
RSA,South Africa,3,DF,Khulumani Ndamane,Khulumani NDAMANE,2004-02-05,Mamelodi Sundowns FC (RSA),,Q137299823,Khulumani Ndamane,South African soccer player,Khulumani Ndamane,none,wikidata-match-without-zh-label
RSA,South Africa,5,MF,Thalente Mbatha,Thalente Wandile MBATHA,2000-03-06,Orlando Pirates FC (RSA),,Q130261099,Thalente Mbatha,South African soccer player (born 2000),Thalente Mbatha,none,wikidata-match-without-zh-label
RSA,South Africa,6,DF,Aubrey Modiba,Aubrey Maphosa MODIBA,1995-07-22,Mamelodi Sundowns FC (RSA),,Q26405966,Aubrey Modiba,South African footballer,Aubrey Modiba,none,wikidata-match-without-zh-label
RSA,South Africa,7,FW,Oswin Appollis,Oswin Reagan APPOLLIS,2001-08-25,Orlando Pirates FC (RSA),,Q64167435,Oswin Appollis,South African association footballer,Oswin Appollis,none,wikidata-match-without-zh-label
RSA,South Africa,8,FW,Tshepang Moremi,Tshepang MOREMI,2000-10-02,Orlando Pirates FC (RSA),,Q125166783,Tshepang Moremi,South African soccer player,Tshepang Moremi,none,wikidata-match-without-zh-label
RSA,South Africa,10,FW,Relebohile Mofokeng,Relebohile MOFOKENG,2004-10-23,Orlando Pirates FC (RSA),,Q119413564,Relebohile Mofokeng,South African soccer player,Relebohile Mofokeng,none,wikidata-match-without-zh-label
RSA,South Africa,12,FW,Thapelo Maseko,Thapelo MASEKO,2003-11-11,AEL Limassol (CYP),,,,,,none,no-wikidata-match
RSA,South Africa,13,MF,Sphephelo Sithole,Sphephelo S'miso SITHOLE,1999-03-03,CD Tondela (POR),,Q104530871,Sphephelo Sithole,South African association football player,Sphephelo Sithole,none,wikidata-match-without-zh-label
RSA,South Africa,14,DF,Mbekezeli Mbokazi,Mbekezeli Mfanukile MBOKAZI,2005-09-19,Chicago Fire FC (USA),,Q133464757,Mbekezeli Mbokazi,South African soccer player,Mbekezeli Mbokazi,none,wikidata-match-without-zh-label
RSA,South Africa,15,FW,Iqraam Rayners,Iqraam RAYNERS,1995-12-19,Mamelodi Sundowns FC (RSA),,Q100565190,Iqraam Rayners,South African soccer player,Iqraam Rayners,none,wikidata-match-without-zh-label
RSA,South Africa,16,GK,Sipho Chaine,Sipho Justin CHAINE,1996-12-14,Orlando Pirates FC (RSA),,Q58796434,Sipho Chaine,football player,Sipho Chaine,none,wikidata-match-without-zh-label
RSA,South Africa,18,DF,Samukele Kabini,Samukele Alucious KABINI,2004-03-15,Molde FK (NOR),,Q133794425,Samukele Kabini,South African soccer player,Samukele Kabini,none,wikidata-match-without-zh-label
RSA,South Africa,19,DF,Nkosinathi Sibisi,Nkosinathi Emmanuel SIBISI,1995-09-22,Orlando Pirates FC (RSA),,,,,,none,no-wikidata-match
RSA,South Africa,20,DF,Khuliso Mudau,Khuliso Johnson MUDAU,1995-04-26,Mamelodi Sundowns FC (RSA),,Q58810793,Khuliso Mudau,South African footballer,Khuliso Mudau,none,wikidata-match-without-zh-label
RSA,South Africa,21,DF,Ime Okon,Ime Daniel OKON,2004-02-20,Hannover 96 (GER),,Q127514195,Ime Okon,South African soccer player,Ime Okon,none,wikidata-match-without-zh-label
RSA,South Africa,22,GK,Stuart Goss,Stuart Ricardo GOSS,1994-04-02,Siwelele FC (RSA),,Q58796031,Ricardo Goss,football player,Ricardo Goss,none,wikidata-match-without-zh-label
RSA,South Africa,23,MF,Jayden Adams,Jayden Oswin ADAMS,2001-05-05,Mamelodi Sundowns FC (RSA),,Q105520386,Jayden Adams,South African soccer player,Jayden Adams,none,wikidata-match-without-zh-label
RSA,South Africa,24,DF,Olwethu Makhanya,Olwethu Mpilwenhle MAKHANYA,2004-04-30,Philadelphia Union (USA),,Q122207713,Olwethu Makhanya,South African footballer,Olwethu Makhanya,none,wikidata-match-without-zh-label
RSA,South Africa,25,FW,Kamogelo Sebelebele,Kamogelo Michael SEBELEBELE,2002-07-21,Orlando Pirates FC (RSA),,Q137441719,Kamogelo Sebelebele,South African soccer player,Kamogelo Sebelebele,none,wikidata-match-without-zh-label
RSA,South Africa,26,DF,Bradley Cross,Bradley Paul CROSS,2001-01-30,Kaizer Chiefs FC (RSA),,Q117790110,Bradley Cross,South African footballer,Bradley Cross,none,wikidata-match-without-zh-label
ESP,Spain,3,DF,Alejandro Grimaldo García,Alejandro GRIMALDO GARCÍA,1995-09-20,Bayer 04 Leverkusen (GER),,,,,,none,no-wikidata-match
ESP,Spain,4,DF,Eric García Martret,Eric GARCÍA MARTRET,2001-01-09,FC Barcelona (ESP),,,,,,none,no-wikidata-match
ESP,Spain,8,MF,Fabian Ruiz Peña,Fabian RUIZ PEÑA,1996-04-03,Paris Saint-Germain (FRA),,,,,,none,no-wikidata-match
ESP,Spain,11,FW,Yeremy Pino Santos,Yeremy Jesús PINO SANTOS,2002-10-20,Crystal Palace FC (ENG),,,,,,none,no-wikidata-match
ESP,Spain,15,MF,Alejandro Baena Rodríguez,Alejandro BAENA RODRÍGUEZ,2001-07-20,Atlético De Madrid (ESP),,,,,,none,no-wikidata-match
ESP,Spain,16,MF,Rodrigo Hernández Cascante,Rodrigo HERNÁNDEZ CASCANTE,1996-06-22,Manchester City FC (ENG),,,,,,none,no-wikidata-match
ESP,Spain,18,MF,Martin Zubimendi Ibañez,Martin ZUBIMENDI IBAÑEZ,1999-02-02,Arsenal FC (ENG),,,,,,none,no-wikidata-match
ESP,Spain,20,MF,Pedro González López,Pedro GONZÁLEZ LÓPEZ,2002-11-25,FC Barcelona (ESP),,,,,,none,no-wikidata-match
ESP,Spain,25,FW,Victor Muñoz Villanueva,Victor MUÑOZ VILLANUEVA,2003-07-13,CA Osasuna (ESP),,,,,,none,no-wikidata-match
SWE,Sweden,1,GK,Jacob Widell Zetterström,Jacob Mikael WIDELL ZETTERSTRÖM,1998-07-11,Derby County FC (ENG),,Q95618487,Jacob Widell Zetterström,瑞典足球運動員,Jacob Widell Zetterström,none,wikidata-match-without-zh-label
SWE,Sweden,4,DF,Isak Hien,Isak Malcolm Kwaku HIEN,1999-01-13,Atalanta Bergamo (ITA),,Q105127935,Isak Hien,瑞典足球運動員,Isak Hien,none,wikidata-match-without-zh-label
SWE,Sweden,18,MF,Yasin Ayari,Yasin AYARI,2003-10-06,Brighton & Hove Albion FC (ENG),,,,,,none,no-wikidata-match
SWE,Sweden,26,FW,Taha Ali,Taha Abdi ALI,1998-07-01,Malmö FF (SWE),,Q109906009,Taha Ali,瑞典足球運動員,Taha Ali,none,wikidata-match-without-zh-label
SUI,Switzerland,25,DF,Luca Jaquez,Luca Antony JAQUEZ,2003-06-02,VfB Stuttgart (GER),,Q122160785,Luca Jaquez,Swiss footballer,Luca Jaquez,none,wikidata-match-without-zh-label
TUN,Tunisia,1,GK,Abdelmouhib Chamakh,Abdelmouhib CHAMAKH,2001-08-25,Club Africain (TUN),,Q139815346,Mouhib Chamakh,Tunisian footballer (born 2001),Mouhib Chamakh,none,wikidata-match-without-zh-label
TUN,Tunisia,4,DF,Omar Rekik,Omar REKIK,2001-12-20,NK Maribor (SVN),,Q96678415,Omar Rekik,Dutch-Tunisian association football player,Omar Rekik,none,wikidata-match-without-zh-label
TUN,Tunisia,5,DF,Adam Arous,Adam AROUS,2004-07-17,Kasımpaşa SK (TUR),,,,,,none,no-wikidata-match
TUN,Tunisia,9,FW,Hazem Mastouri,Hazem MASTOURI,1997-06-18,FC Dynamo Makhachkala (RUS),,Q134699960,Hazem Mastouri,Tunisian association football player,Hazem Mastouri,none,wikidata-match-without-zh-label
TUN,Tunisia,11,MF,Ismael Gharbi,Ismael Seifallah GHARBI,2004-04-10,FC Augsburg (GER),,,,,,none,no-wikidata-match
TUN,Tunisia,12,DF,Ahmed Ben Ouanes,Ahmed Mortadha BEN OUANES,1994-07-02,Kasımpaşa SK (TUR),,,,,,none,no-wikidata-match
TUN,Tunisia,14,MF,Khalil Ayari,Khalil AYARI,2005-02-02,Paris Saint-Germain (FRA),,Q134711363,Khalil Ayari,Tunisian association football player,Khalil Ayari,none,wikidata-match-without-zh-label
TUN,Tunisia,15,MF,Mohamed Belhadj Mahmoud,Mohamed BELHADJ MAHMOUD,2000-04-24,FC Lugano (SUI),,Q108653548,Mohamed Belhadj Mahmoud,Tunisian association football player,Mohamed Belhadj Mahmoud,none,wikidata-match-without-zh-label
TUN,Tunisia,18,FW,Rayan Elloumi,Rayan ELLOUMI,2007-09-17,Vancouver Whitecaps FC (CAN),,Q134932034,Rayan Elloumi,加拿大男子足球运动员,Rayan Elloumi,none,wikidata-match-without-zh-label
TUN,Tunisia,19,FW,Firas Chaouat,Firas CHAOUAT,1996-05-08,Club Africain (TUN),,Q58815643,Firas Chaouat,Tunisian association football player,Firas Chaouat,none,wikidata-match-without-zh-label
TUN,Tunisia,21,DF,Mohamed Ben Hmida,Mohamed Amine BEN HMIDA,1995-12-15,Espérance De Tunisie (TUN),,,,,,none,no-wikidata-match
TUN,Tunisia,22,GK,Sabri Ben Hsan,Sabri BEN HSAN,1996-06-13,Étoile Du Sahel (TUN),,Q139815184,Sabri Ben Hessen,Tunisian association football player (born 1996),Sabri Ben Hessen,none,wikidata-match-without-zh-label
TUN,Tunisia,23,DF,Moutaz Neffati,Moutaz NEFFATI,2004-09-04,IFK Norrköping FK (SWE),,Q123436577,Moutaz Neffati,瑞典足球運動員,Moutaz Neffati,none,wikidata-match-without-zh-label
TUN,Tunisia,24,DF,Raed Chikhaoui,Raed CHIKHAOUI,2004-06-09,US Monastir (TUN),,Q139816192,Raed Chikhaoui,Tunisian footballer (born 2001),Raed Chikhaoui,none,wikidata-match-without-zh-label
TUN,Tunisia,26,MF,Sebastian Tounekti,Sebastian TOUNEKTI,2002-07-13,Celtic FC (SCO),,Q96337717,Sebastian Tounekti,Norwegian-Tunisian association football player,Sebastian Tounekti,none,wikidata-match-without-zh-label
TUR,Türkiye,1,GK,Fehmi Günok,Fehmi Mert GÜNOK,1989-03-01,Fenerbahçe SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,2,DF,Mehmet Çelik,Mehmet Zeki ÇELIK,1997-02-17,AS Roma (ITA),,,,,,none,no-wikidata-match
TUR,Türkiye,3,DF,Merih Demi̇ral,Merih DEMİRAL,1998-03-05,Al Ahli FC (KSA),,,,,,none,no-wikidata-match
TUR,Türkiye,7,FW,Muhammed Aktürkoğlu,Muhammed Kerem AKTÜRKOĞLU,1998-10-21,Fenerbahçe SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,8,FW,Arda Güler,Arda GÜLER,2005-02-25,Real Madrid C. F. (ESP),,,,,,none,no-wikidata-match
TUR,Türkiye,9,FW,Deniz Gül,Deniz Daniel GÜL,2004-07-02,FC Porto (POR),,Q123174990,Deniz Gül,瑞典足球運動員,Deniz Gül,none,wikidata-match-without-zh-label
TUR,Türkiye,11,FW,Kenan Yildiz,Kenan YILDIZ,2005-05-04,Juventus FC (ITA),,,,,,none,no-wikidata-match
TUR,Türkiye,12,GK,Altay Bayindir,Altay BAYINDIR,1998-04-14,Manchester United FC (ENG),,,,,,none,no-wikidata-match
TUR,Türkiye,13,DF,Evren Elmali,Evren Eren ELMALI,2000-07-07,Galatasaray SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,14,DF,Abdülkerİm Bardakci,Abdülkerİm BARDAKCI,1994-09-07,Galatasaray SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,16,MF,İsmaİl Yüksek,İsmaİl YÜKSEK,1999-01-26,Fenerbahçe SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,17,FW,İrfan Kahveci̇,İrfan KAHVECİ,1995-07-15,Kasımpaşa SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,20,DF,Ferdi Kadioğlu,Ferdi Erenay KADIOĞLU,1999-10-07,Brighton & Hove Albion FC (ENG),,,,,,none,no-wikidata-match
TUR,Türkiye,21,FW,Barış Yilmaz,Barış Alper YILMAZ,2000-05-23,Galatasaray SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,23,GK,Uğurcan Çakir,Uğurcan ÇAKIR,1996-04-05,Galatasaray SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,24,FW,Oğuz Aydin,Oğuz AYDIN,2000-10-27,Fenerbahçe SK (TUR),,,,,,none,no-wikidata-match
TUR,Türkiye,25,DF,Samet Akaydin,Samet AKAYDIN,1994-03-13,Çaykur Rizespor (TUR),,,,,,none,no-wikidata-match
URU,Uruguay,2,DF,José Giménez De Vargas,José María GIMÉNEZ DE VARGAS,1995-01-20,Atlético De Madrid (ESP),,,,,,none,no-wikidata-match
URU,Uruguay,3,DF,Sebastián Cáceres Ramos,Sebastián Enzo CÁCERES RAMOS,1999-08-18,Club América (MEX),,,,,,none,no-wikidata-match
URU,Uruguay,4,DF,Ronald Araújo Da Silva,Ronald Federico ARAÚJO DA SILVA,1999-03-07,FC Barcelona (ESP),,,,,,none,no-wikidata-match
URU,Uruguay,7,MF,Diego De La Cruz Arcosa,Diego Nicolás DE LA CRUZ ARCOSA,1997-06-01,CR Flamengo (BRA),,,,,,none,no-wikidata-match
URU,Uruguay,9,FW,Darwin Nuñez Ribeiro,Darwin Gabriel NUÑEZ RIBEIRO,1999-06-24,Al Hilal SC (KSA),,,,,,none,no-wikidata-match
URU,Uruguay,10,MF,Giorgian De Arrascaeta Benedetti,Giorgian Daniel DE ARRASCAETA BENEDETTI,1994-06-01,CR Flamengo (BRA),,,,,,none,no-wikidata-match
URU,Uruguay,12,GK,Santiago Mele Castañero,Santiago Andres MELE CASTAÑERO,1997-09-06,CF Monterrey (MEX),,Q27921765,Santiago Mele,乌拉圭男子足球运动员,Santiago Mele,none,wikidata-match-without-zh-label
URU,Uruguay,14,MF,Agustin Canobbio,Agustin CANOBBIO,1998-10-01,Fluminense FC (BRA),,,,,,none,no-wikidata-match
URU,Uruguay,16,DF,Mathías Olivera Miramontes,Mathías OLIVERA MIRAMONTES,1997-10-31,SSC Napoli (ITA),,,,,,none,no-wikidata-match
URU,Uruguay,17,DF,Matías Viña Susperreguy,Matías Nicolas VIÑA SUSPERREGUY,1997-11-09,CA River Plate (ARG),,,,,,none,no-wikidata-match
URU,Uruguay,18,FW,Paul Rodríguez Bravo,Paul Brian RODRÍGUEZ BRAVO,2000-05-20,Club América (MEX),,,,,,none,no-wikidata-match
URU,Uruguay,19,FW,Rodrigo Aguirre Soto,Rodrigo Sebastian AGUIRRE SOTO,1994-10-01,Tigres UANL (MEX),,Q2070073,Rodrigo Aguirre,乌拉圭男子足球运动员,Rodrigo Aguirre,none,wikidata-match-without-zh-label
URU,Uruguay,20,MF,Maximiliano Araújo Vilches,Maximiliano Javier ARAÚJO VILCHES,2000-02-15,Sporting CP (POR),,,,,,none,no-wikidata-match
URU,Uruguay,21,FW,Federico Viñas Barboza,Federico Sebastian VIÑAS BARBOZA,1998-06-30,Real Oviedo (ESP),,,,,,none,no-wikidata-match
URU,Uruguay,22,MF,Joaquin Piquerez Moreira,Joaquin PIQUEREZ MOREIRA,1998-08-24,SE Palmeiras (BRA),,,,,,none,no-wikidata-match
USA,USA,8,MF,Weston Mc Kennie,Weston James Earl MC KENNIE,1998-08-28,Juventus FC (ITA),,,,,,none,no-wikidata-match
USA,USA,14,MF,Sebastian Berhalter,Sebastian Matthew BERHALTER,2001-05-10,Vancouver Whitecaps FC (CAN),,Q86301356,Sebastian Berhalter,American soccer player,Sebastian Berhalter,none,wikidata-match-without-zh-label
USA,USA,18,DF,Maximilian Arfsten,Maximilian Michael ARFSTEN,2001-04-19,Columbus Crew (USA),,Q117309867,Max Arfsten,美國足球運動員,Max Arfsten,none,wikidata-match-without-zh-label
USA,USA,22,DF,Mark Mckenzie,Mark Alexander MCKENZIE,1999-02-25,Toulouse FC (FRA),,,,,,none,no-wikidata-match
USA,USA,24,GK,Matthew Freese,Matthew Andrew Geary FREESE,1998-09-02,New York City FC (USA),,Q62036070,Matt Freese,美國足球運動員,Matt Freese,none,wikidata-match-without-zh-label
USA,USA,25,GK,Christopher Brady,Christopher Keith BRADY,2004-03-03,Chicago Fire FC (USA),,Q98594864,Chris Brady,美國足球運動員,Chris Brady,none,wikidata-match-without-zh-label
USA,USA,26,FW,Alejandro Zendejas Saavedra,Alejandro ZENDEJAS SAAVEDRA,1998-02-07,Club América (MEX),,Q19972593,Alejandro Zendejas,American soccer player,Alejandro Zendejas,none,wikidata-match-without-zh-label
UZB,Uzbekistan,4,DF,Farrukh Sayfiev,Farrukh SAYFIEV,1991-01-17,FK Neftchi Farg'ona (UZB),,Q18753041,Farrukh Sayfiev,Uzbekistani footballer,Farrukh Sayfiev,none,wikidata-match-without-zh-label
UZB,Uzbekistan,6,MF,Akmal Mozgovoy,Akmal MOZGOVOY,1999-04-02,Pakhtakor Tashkent FK (UZB),,Q99777968,Akmal Mozgovoy,Uzbekistani footballer,Akmal Mozgovoy,none,wikidata-match-without-zh-label
UZB,Uzbekistan,9,MF,Odiljon Xamrobekov,Odiljon XAMROBEKOV,1996-02-13,Tractor Sazi Tabriz FC (IRN),,,,,,none,no-wikidata-match
UZB,Uzbekistan,10,MF,Ruslanbek Jiyanov,Ruslanbek JIYANOV,2001-06-05,PFC Navbahor Namangan (UZB),,Q117289729,Ruslanbek Jiyanov,Uzbekistani footballer,Ruslanbek Jiyanov,none,wikidata-match-without-zh-label
UZB,Uzbekistan,13,DF,Sherzod Nasrullaev,Sherzod NASRULLAEV,1998-07-23,Pakhtakor Tashkent FK (UZB),,Q124101458,Sherzod Nasrullaev,Uzbek footballer,Sherzod Nasrullaev,none,wikidata-match-without-zh-label
UZB,Uzbekistan,16,GK,Botirali Ergashev,Botirali ERGASHEV,1995-06-23,FK Neftchi Farg'ona (UZB),,Q51670751,Botirali Ergashev,Uzbek footballer,Botirali Ergashev,none,wikidata-match-without-zh-label
UZB,Uzbekistan,23,MF,Sherzod Esanov,Sherzod ESANOV,2003-02-01,FK Buxoro (UZB),,Q128133456,Sherzod Esanov,Uzbekistani footballer,Sherzod Esanov,none,wikidata-match-without-zh-label
UZB,Uzbekistan,24,DF,Behruzjon Karimov,Behruzjon KARIMOV,2007-08-07,Surkhon FK (UZB),,,,,,none,no-wikidata-match
UZB,Uzbekistan,25,DF,Avazbek Ulmasaliyev,Avazbek ULMASALIYEV,2000-03-27,OKMK FK (UZB),,,,,,none,no-wikidata-match
UZB,Uzbekistan,26,DF,Jakhongir Urozov,Jakhongir UROZOV,2004-01-18,FK Dinamo Samarkand (UZB),,Q122055800,Jakhongir Urozov,Uzbekistani association football player,Jakhongir Urozov,none,wikidata-match-without-zh-label
